road,lrp,lat,lon
N1,LRPS,23.7060278,90.443333
N1,LRPSa,23.704402800000004,90.44690259999999
N1,LRPSb,23.702777800000003,90.4504722
N1,LRP001,23.70272224166667,90.45591433333333
N1,LRP002,23.702666683333337,90.46135646666666
N1,LRP002a,23.702611125000004,90.46679859999999
N1,LRP003,23.702555566666668,90.47224073333332
N1,LRP004,23.702500008333335,90.47768286666665
N1,LRP004a,23.70244445,90.483125
N1,LRP005,23.70238889166667,90.48856713333333
N1,LRP006,23.702333333333335,90.49400926666667
N1,LRP007,23.702277775,90.4994514
N1,LRP007a,23.702222216666666,90.50489353333333
N1,LRP008,23.702166658333333,90.51033566666666
N1,LRP008a,23.7021111,90.5157778
N1,LRP008b,23.704583300000003,90.5188327
N1,LRP009,23.705027800000003,90.5193327
N1,LRP009a,23.703861133333337,90.5222864
N1,LRP010,23.702694466666667,90.5252401
N1,LRP010a,23.7015278,90.5281938
N1,LRP010b,23.6998608,90.5307216
N1,LRP010c,23.6974163,90.5337774
N1,LRP011,23.696638600000004,90.5348052
N1,LRP011a,23.6943608,90.5376108
N1,LRP011b,23.6922774,90.5410552
N1,LRP012,23.6918052,90.5426108
N1,LRP012a,23.6911108,90.5448886
N1,LRP012b,23.6910552,90.5451386
N1,LRP012c,23.6904163,90.546583
N1,LRP013,23.6865274,90.5504167
N1,LRP013a,23.682175616666665,90.55319898333333
N1,LRP014,23.67782383333333,90.55598126666666
N1,LRP015,23.67347205,90.55876355000001
N1,LRP015a,23.669120266666667,90.56154583333334
N1,LRP016,23.664768483333333,90.56432811666667
N1,LRP016a,23.6604167,90.5671104
N1,LRP016b,23.6591111,90.5697216
N1,LRP016c,23.6583056,90.5709993
N1,LRP017,23.6575,90.57197159999998
N1,LRP017a,23.6559722,90.5743327
N1,LRP017b,23.6559167,90.5745271
N1,LRP017c,23.6540556,90.5772771
N1,LRP017d,23.6539167,90.5774993
N1,LRP018,23.6525278,90.5798882
N1,LRP018a,23.6508889,90.5826382
N1,LRP018b,23.6506944,90.5829993
N1,LRP019,23.6476108,90.588083
N1,LRP019a,23.644944100000004,90.5899163
N1,LRP019b,23.6397497,90.5926941
N1,LRP020,23.639694100000003,90.5927219
N1,LRP020a,23.6358608,90.5948052
N1,LRP020b,23.6341108,90.59702740000002
N1,LRP020c,23.6335552,90.5976941
N1,LRP021,23.630777333333334,90.60012013333333
