road,id,model_type,name,lat,lon,length,condition,road_lrp
N1,N1_0,source,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,0.0,,N1LRPS
N1,N1_1,link,Km post missing,23.7021389,90.4519722,1.0,,N1LRP001
N1,N1_2,bridge,.,23.69873866,90.4588610799999,0.8,A,N1LRP001a
N1,N1_3,link,Km post missing,23.6978886,90.4605833,0.19999999999999996,,N1LRP002
N1,N1_4,link,Km post missing,23.693833,90.4691382,1.0,,N1LRP003
N1,N1_5,link,Km post missing,23.6936108,90.4787771,1.0,,N1LRP004
N1,N1_6,bridge,.,23.6946638363636,90.4877749181818,0.9249999999999998,A,N1LRP004b
N1,N1_7,link,Km post missing,23.6947497,90.4884997,0.07500000000000018,,N1LRP005
N1,N1_8,link,Km post missing,23.6959163,90.4981941,1.0,,N1LRP006
N1,N1_9,link,Km post missing,23.697333,90.50775,1.0,,N1LRP007
N1,N1_10,link,Km post missing,23.7020556,90.5157222,1.0,,N1LRP008
N1,N1_11,link,"Chittagong 251 km,Comilla 84 km",23.7050278,90.5193327,0.5030000000000001,,N1LRP009
N1,N1_12,bridge,Kanch pur Bridge.,23.7050598925675,90.5232141463513,0.47300000000000075,A,N1LRP008b
N1,N1_13,link,Km post missing,23.7025278,90.5273882,0.5269999999999992,,N1LRP010
N1,N1_14,link,Km post missing,23.6966386,90.5348052,1.0,,N1LRP011
N1,N1_15,bridge,KATCHPUR BOX CULVERT,23.6964000869109,90.5350989801047,0.03999999999999915,B,N1LRP010a
N1,N1_16,bridge,NOYAPARA CULVERT,23.6943906141361,90.5375740774869,0.3370000000000015,A,N1LRP010b
N1,N1_17,bridge,ADUPUR CULVERT,23.6943023869158,90.5377073719626,0.01699999999999946,A,N1LRP010c
N1,N1_18,bridge,NAYABARI KASPUR BOX CULVERT,23.6923601518691,90.5409183897196,0.39899999999999913,A,N1LRP011a
N1,N1_19,link,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108,0.2010000000000005,,N1LRP012
N1,N1_20,bridge,NAYABARI BOX CULVERT,23.6909119315151,90.5454624957575,0.31099999999999994,B,N1LRP011c
N1,N1_21,bridge,KHAS PARA BOX CULVERT,23.6884123260204,90.5485585290816,0.43100000000000094,A,N1LRP012a
N1,N1_22,bridge,DAWAN BAG BOX CULVERT,23.6883197331632,90.548649807653,0.013999999999999346,A,N1LRP012b
N1,N1_23,link,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,0.270999999999999,,N1LRP013
N1,N1_24,bridge,Madanpur Bridge.(L),23.685583027027,90.551207981081,0.136000000000001,A,N1LRP013a
N1,N1_25,bridge,Madanpur Bridge(R),23.6853619779342,90.5513591765258,0.02800000000000047,A,N1LRP013b
N1,N1_26,link,Km post missing,23.678166,90.5556111,0.8359999999999985,,N1LRP014
N1,N1_27,bridge,KAWTALA BOX CULVERT,23.6778035,90.5558194349999,0.05000000000000071,A,N1LRP014a
N1,N1_28,link,Km post missing,23.670916,90.5597778,0.9499999999999993,,N1LRP015
N1,N1_29,bridge,MALIBAG BOX CULVERT,23.6633090696149,90.563856994797,0.9410000000000007,B,N1LRP016a
N1,N1_30,link,Km post missing,23.6628333,90.5641111,0.058999999999999275,,N1LRP016
N1,N1_31,link,Km post missing,23.6575,90.5719716,1.0000000000000018,,N1LRP017
N1,N1_32,bridge,Langalbandh Bridge.,23.6544257051136,90.576730225,0.6099999999999994,C,N1LRP017b
N1,N1_33,bridge,Darikandi Bridge (L),23.65397226,90.57741042,0.08800000000000097,A,N1LRP018a
N1,N1_34,link,Km post missing,23.6525278,90.5798882,0.3019999999999996,,N1LRP018
N1,N1_35,bridge,DARIKANDI BRIDGE (R),23.6515705663716,90.5814943946902,0.1980000000000004,B,N1LRP018a
N1,N1_36,bridge,Sonakhal Bridge(L),23.6497543993548,90.5845490085483,0.37099999999999866,A,N1LRP018c
N1,N1_37,link,Km post missing,23.6476108,90.588083,0.43100000000000094,,N1LRP019
N1,N1_38,bridge,MOLLIK PARA BRIDGE (R),23.6459685949152,90.5892119813559,0.21799999999999997,C,N1LRP019a
N1,N1_39,link,Km post missing,23.6396941,90.5927219,0.782,,N1LRP020
N1,N1_40,bridge,KRIBORDI BOX CULVERT,23.6379543715384,90.5936673976923,0.23600000000000065,A,N1LRP020a
N1,N1_41,bridge,SHADIPUR BOX CULVERT,23.63380522,90.597394085,0.6369999999999969,B,N1LRP020b
N1,N1_42,link,Km post missing,23.6330549,90.5982774,0.12700000000000244,,N1LRP021
N1,N1_43,bridge,Marikhali Bridge(L),23.6284668507692,90.6023015723077,0.6600000000000001,A,N1LRP021c
N1,N1_44,link,"Ctg 238 km,Comilla 71 km",23.6252216,90.6049722,0.4450000000000003,,N1LRP022
N1,N1_45,bridge,SANGAKADI CULVERT,23.6198832229508,90.6083528852459,0.6989999999999981,B,N1LRP022a
N1,N1_46,bridge,Ashariarchar Bridge(R),23.6176407964705,90.6095506105882,0.2680000000000007,B,N1LRP023b
N1,N1_47,link,Km post missing,23.6173604,90.6096944,0.03300000000000125,,N1LRP023
N1,N1_48,bridge,Ashariachar-2 Bridge.(L),23.613587384385,90.6109029561497,0.4519999999999982,A,N1LRP023c
N1,N1_49,link,Km post missing,23.609,90.6124722,0.5480000000000018,,N1LRP024
N1,N1_50,bridge,Meghna Bridge,23.6027595885583,90.6155316965675,0.7639999999999993,A,N1LRP024a
N1,N1_51,link,Km post missing,23.6009444,90.6165556,0.23600000000000065,,N1LRP025
N1,N1_52,link,Km post missing,23.5959997,90.624666,1.0,,N1LRP026
N1,N1_53,bridge,TATULTALA CULVERT,23.5929818827893,90.6279699370919,0.4859999999999971,A,N1LRP026a
N1,N1_54,bridge,BAILAKANDI CULVERT,23.5908088547468,90.6302368598101,0.3370000000000033,A,N1LRP026b
N1,N1_55,link,Km post missing,23.5896108,90.6313882,0.1769999999999996,,N1LRP027
N1,N1_56,bridge,MALUAKANDI CULVEDRT,23.58631812254,90.6345094207093,0.49099999999999966,A,N1LRP027a
N1,N1_57,link,Km post missing,23.5828327,90.6378886,0.5090000000000003,,N1LRP028
N1,N1_58,bridge,Bhater char Bridge (L),23.5779800248475,90.6419193089939,0.6859999999999999,A,N1LRP028b
N1,N1_59,link,Information missing,23.5745271,90.6436941,0.44399999999999906,,N1LRP029
N1,N1_60,bridge,Anarpara Bridge (L),23.5716306256965,90.6454159236842,0.37900000000000134,A,N1LRP029a
N1,N1_61,link,Km post missing,23.5666111,90.6481663,0.6209999999999987,,N1LRP030
N1,N1_62,bridge,VITIKANDA - ANAR PUR CULVERT,23.5660033956521,90.6486237247282,0.08299999999999841,A,N1LRP030a
N1,N1_63,link,"Ctg 229 km,Comilla 62 km",23.5599722,90.6548056,0.9320000000000022,,N1LRP031
N1,N1_64,bridge,Alipur bridge(R),23.5591910296296,90.6557475703703,0.13400000000000034,A,N1LRP031a
N1,N1_65,bridge,Bhaber char Bridge(L),23.5557082901265,90.6597414245569,0.5640000000000001,A,N1LRP032b
N1,N1_66,link,"Ctg 228 km,Comilla 61 km",23.5538056,90.6619722,0.31099999999999994,,N1LRP032
N1,N1_67,bridge,Baushia Bridge(L),23.5517421907216,90.6643538752577,0.33800000000000097,A,N1LRP032e
N1,N1_68,link,"Ctg 227 km,Comilla 60 km",23.5487497,90.6678327,0.4859999999999971,,N1LRP033
N1,N1_69,bridge,PURRANBUICHE BOX CULVERT,23.5477377446428,90.6690554098214,0.1700000000000017,A,N1LRP033a
N1,N1_70,bridge,NOYAPARA,23.5476246437499,90.669192065625,0.01899999999999835,A,N1LRP033b
N1,N1_71,bridge,Madhya Baushia Bridge(L),23.54268543125,90.6748292125,0.7950000000000017,A,N1LRP034a
N1,N1_72,link,Km post missing,23.542583,90.6749438,0.015999999999998238,,N1LRP034
N1,N1_73,bridge,BOCTAR KANDI BOX CULVERT,23.5393910168,90.6784577888,0.5039999999999978,C,N1LRP034c
N1,N1_74,link,Km post missing,23.5362497,90.681916,0.4960000000000022,,N1LRP035
N1,N1_75,bridge,.,23.5327751898617,90.6858701078341,0.5739999999999981,A,N1LRP035a
N1,N1_76,bridge,Baushia bazar Bridge( L ),23.5313996605222,90.68744892596,0.22700000000000387,A,N1LRP036a
N1,N1_77,link,Km post missing,23.5301938,90.688833,0.19899999999999807,,N1LRP036
N1,N1_78,bridge,CHAR BOUSHEA (2),23.5301519626506,90.6897951837349,0.10000000000000142,A,N1LRP036c
N1,N1_79,link,Km post missing,23.5301382,90.6984997,0.8999999999999986,,N1LRP037
N1,N1_80,bridge,Daudkandi Bridge.,23.5303844733,90.7024402743,0.4029999999999987,A,N1LRP037a
N1,N1_81,link,Km post missing,23.5307493,90.7082778,0.5970000000000013,,N1LRP038
N1,N1_82,link,Km post missing,23.5317216,90.7180271,1.0,,N1LRP039
N1,N1_83,bridge,Baldhakhal Bridge,23.5324186,90.7242807234,0.6970000000000027,C,N1LRP040b
