Road,Scenario,Seed,Average_driving_time,Accumulate_delay_time,Average_delay_time,Broken_bridges
N1,0,417603,578.0,0,0.0,
N1,0,774994,578.0,0,0.0,
N1,0,796728,578.0,0,0.0,
N1,0,707217,578.0,0,0.0,
N1,0,631483,578.0,0,0.0,
N1,0,163972,578.0,0,0.0,
N1,0,162907,578.0,0,0.0,
N1,0,125687,578.0,0,0.0,
N1,0,117073,578.0,0,0.0,
N1,0,524631,578.0,0,0.0,
N1,1,564943,578.0,0,0.0,
N1,1,482470,578.0,0,0.0,
N1,1,982414,578.0,0,0.0,
N1,1,388335,578.0,0,0.0,
N1,1,833734,706.1757902852737,170215,131.2374710871241,N1_850
N1,1,812493,578.0,0,0.0,
N1,1,282602,578.0,0,0.0,
N1,1,887841,578.0,0,0.0,
N1,1,390051,578.0,0,0.0,
N1,1,860523,578.0,0,0.0,
N1,2,712885,578.0,0,0.0,
N1,2,928093,578.0,0,0.0,
N1,2,898555,708.0478026214341,172858,133.27525057825753,N1_842
N1,2,764706,578.0,0,0.0,
N1,2,163046,578.0,0,0.0,
N1,2,476411,578.0,0,0.0,
N1,2,124059,578.0,0,0.0,
N1,2,151528,645.7380045696877,89890,68.46153846153847,N1_930
N1,2,740325,645.2608695652174,89339,68.14569031273837,N1_930
N1,2,694628,578.0,0,0.0,
N1,3,106247,1040.544272948822,599613,487.09423233143787, N1_771
N1,3,106247,1040.544272948822,599613,487.09423233143787, N1_816
N1,3,106247,1040.544272948822,599613,487.09423233143787, N1_884
N1,3,106247,1040.544272948822,599613,487.09423233143787, N1_997
N1,3,106247,1040.544272948822,599613,487.09423233143787,N1_793
N1,3,253483,841.6317859952793,357717,281.44531864673485, N1_222
N1,3,253483,841.6317859952793,357717,281.44531864673485, N1_460
N1,3,253483,841.6317859952793,357717,281.44531864673485,N1_912
N1,3,331231,1033.0445344129555,603361,488.5514170040486, N1_108
N1,3,331231,1033.0445344129555,603361,488.5514170040486, N1_772
N1,3,331231,1033.0445344129555,603361,488.5514170040486, N1_873
N1,3,331231,1033.0445344129555,603361,488.5514170040486,N1_837
N1,3,348376,1095.977886977887,682264,558.7747747747748, N1_73
N1,3,348376,1095.977886977887,682264,558.7747747747748, N1_817
N1,3,348376,1095.977886977887,682264,558.7747747747748, N1_839
N1,3,348376,1095.977886977887,682264,558.7747747747748,N1_837
N1,3,405017,1148.526837324525,742242,612.9165978530141, N1_348
N1,3,405017,1148.526837324525,742242,612.9165978530141, N1_677
N1,3,405017,1148.526837324525,742242,612.9165978530141, N1_800
N1,3,405017,1148.526837324525,742242,612.9165978530141, N1_828
N1,3,405017,1148.526837324525,742242,612.9165978530141, N1_912
N1,3,405017,1148.526837324525,742242,612.9165978530141, N1_929
N1,3,405017,1148.526837324525,742242,612.9165978530141, N1_939
N1,3,405017,1148.526837324525,742242,612.9165978530141,N1_801
N1,3,565062,971.4514835605452,510923,409.7217321571772, N1_1081
N1,3,565062,971.4514835605452,510923,409.7217321571772, N1_905
N1,3,565062,971.4514835605452,510923,409.7217321571772, N1_931
N1,3,565062,971.4514835605452,510923,409.7217321571772,N1_1015
N1,3,785584,713.2629144178875,179478,138.3793369313801, N1_885
N1,3,785584,713.2629144178875,179478,138.3793369313801,N1_801
N1,3,804290,1293.3763713080168,920458,776.757805907173, N1_132
N1,3,804290,1293.3763713080168,920458,776.757805907173, N1_797
N1,3,804290,1293.3763713080168,920458,776.757805907173, N1_817
N1,3,804290,1293.3763713080168,920458,776.757805907173, N1_850
N1,3,804290,1293.3763713080168,920458,776.757805907173, N1_999
N1,3,804290,1293.3763713080168,920458,776.757805907173,N1_828
N1,3,822016,1294.3395427603723,923650,782.0914479254869, N1_863
N1,3,822016,1294.3395427603723,923650,782.0914479254869, N1_899
N1,3,822016,1294.3395427603723,923650,782.0914479254869, N1_914
N1,3,822016,1294.3395427603723,923650,782.0914479254869, N1_920
N1,3,822016,1294.3395427603723,923650,782.0914479254869, N1_947
N1,3,822016,1294.3395427603723,923650,782.0914479254869, N1_986
N1,3,822016,1294.3395427603723,923650,782.0914479254869,N1_32
N1,3,914442,1562.9929328621909,1236586,1092.3904593639577, N1_1015
N1,3,914442,1562.9929328621909,1236586,1092.3904593639577, N1_320
N1,3,914442,1562.9929328621909,1236586,1092.3904593639577, N1_816
N1,3,914442,1562.9929328621909,1236586,1092.3904593639577, N1_862
N1,3,914442,1562.9929328621909,1236586,1092.3904593639577, N1_870
N1,3,914442,1562.9929328621909,1236586,1092.3904593639577, N1_884
N1,3,914442,1562.9929328621909,1236586,1092.3904593639577, N1_902
N1,3,914442,1562.9929328621909,1236586,1092.3904593639577, N1_930
N1,3,914442,1562.9929328621909,1236586,1092.3904593639577, N1_947
N1,3,914442,1562.9929328621909,1236586,1092.3904593639577,N1_520
N1,4,210520,1565.4392191659272,1238564,1098.992014196983, N1_1000
N1,4,210520,1565.4392191659272,1238564,1098.992014196983, N1_1017
N1,4,210520,1565.4392191659272,1238564,1098.992014196983, N1_800
N1,4,210520,1565.4392191659272,1238564,1098.992014196983, N1_845
N1,4,210520,1565.4392191659272,1238564,1098.992014196983, N1_917
N1,4,210520,1565.4392191659272,1238564,1098.992014196983, N1_920
N1,4,210520,1565.4392191659272,1238564,1098.992014196983, N1_930
N1,4,210520,1565.4392191659272,1238564,1098.992014196983, N1_95
N1,4,210520,1565.4392191659272,1238564,1098.992014196983, N1_962
N1,4,210520,1565.4392191659272,1238564,1098.992014196983,N1_842
N1,4,262739,1295.01775147929,911082,770.14539306847, N1_1081
N1,4,262739,1295.01775147929,911082,770.14539306847, N1_809
N1,4,262739,1295.01775147929,911082,770.14539306847, N1_850
N1,4,262739,1295.01775147929,911082,770.14539306847, N1_863
N1,4,262739,1295.01775147929,911082,770.14539306847, N1_872
N1,4,262739,1295.01775147929,911082,770.14539306847, N1_914
N1,4,262739,1295.01775147929,911082,770.14539306847,N1_939
N1,4,302028,1781.1236162361624,1486287,1371.1134686346863, N1_1015
N1,4,302028,1781.1236162361624,1486287,1371.1134686346863, N1_1049
N1,4,302028,1781.1236162361624,1486287,1371.1134686346863, N1_143
N1,4,302028,1781.1236162361624,1486287,1371.1134686346863, N1_446
N1,4,302028,1781.1236162361624,1486287,1371.1134686346863, N1_788
N1,4,302028,1781.1236162361624,1486287,1371.1134686346863, N1_850
N1,4,302028,1781.1236162361624,1486287,1371.1134686346863, N1_912
N1,4,302028,1781.1236162361624,1486287,1371.1134686346863, N1_924
N1,4,302028,1781.1236162361624,1486287,1371.1134686346863, N1_929
N1,4,302028,1781.1236162361624,1486287,1371.1134686346863, N1_994
N1,4,302028,1781.1236162361624,1486287,1371.1134686346863,N1_801
N1,4,332366,1599.2940125111706,1283160,1146.7024128686328, N1_1000
N1,4,332366,1599.2940125111706,1283160,1146.7024128686328, N1_104
N1,4,332366,1599.2940125111706,1283160,1146.7024128686328, N1_1047
N1,4,332366,1599.2940125111706,1283160,1146.7024128686328, N1_1049
N1,4,332366,1599.2940125111706,1283160,1146.7024128686328, N1_83
N1,4,332366,1599.2940125111706,1283160,1146.7024128686328, N1_841
N1,4,332366,1599.2940125111706,1283160,1146.7024128686328, N1_899
N1,4,332366,1599.2940125111706,1283160,1146.7024128686328, N1_905
N1,4,332366,1599.2940125111706,1283160,1146.7024128686328, N1_918
N1,4,332366,1599.2940125111706,1283160,1146.7024128686328,N1_425
N1,4,365188,1206.3879598662206,817575,683.5911371237459, N1_38
N1,4,365188,1206.3879598662206,817575,683.5911371237459, N1_845
N1,4,365188,1206.3879598662206,817575,683.5911371237459, N1_862
N1,4,365188,1206.3879598662206,817575,683.5911371237459, N1_880
N1,4,365188,1206.3879598662206,817575,683.5911371237459, N1_885
N1,4,365188,1206.3879598662206,817575,683.5911371237459, N1_929
N1,4,365188,1206.3879598662206,817575,683.5911371237459,N1_837
N1,4,380783,1075.746317512275,645099,527.9042553191489, N1_677
N1,4,380783,1075.746317512275,645099,527.9042553191489, N1_849
N1,4,380783,1075.746317512275,645099,527.9042553191489, N1_880
N1,4,380783,1075.746317512275,645099,527.9042553191489, N1_986
N1,4,380783,1075.746317512275,645099,527.9042553191489, N1_994
N1,4,380783,1075.746317512275,645099,527.9042553191489,N1_801
N1,4,420313,1425.2560553633218,1063991,920.4074394463668, N1_1000
N1,4,420313,1425.2560553633218,1063991,920.4074394463668, N1_1015
N1,4,420313,1425.2560553633218,1063991,920.4074394463668, N1_828
N1,4,420313,1425.2560553633218,1063991,920.4074394463668, N1_833
N1,4,420313,1425.2560553633218,1063991,920.4074394463668, N1_917
N1,4,420313,1425.2560553633218,1063991,920.4074394463668, N1_924
N1,4,420313,1425.2560553633218,1063991,920.4074394463668, N1_996
N1,4,420313,1425.2560553633218,1063991,920.4074394463668,N1_920
N1,4,430253,1462.693310165074,1131244,982.8357949609036, N1_1049
N1,4,430253,1462.693310165074,1131244,982.8357949609036, N1_161
N1,4,430253,1462.693310165074,1131244,982.8357949609036, N1_446
N1,4,430253,1462.693310165074,1131244,982.8357949609036, N1_800
N1,4,430253,1462.693310165074,1131244,982.8357949609036, N1_816
N1,4,430253,1462.693310165074,1131244,982.8357949609036, N1_849
N1,4,430253,1462.693310165074,1131244,982.8357949609036, N1_863
N1,4,430253,1462.693310165074,1131244,982.8357949609036, N1_962
N1,4,430253,1462.693310165074,1131244,982.8357949609036,N1_425
N1,4,836529,1632.262353998203,1328445,1193.571428571429, N1_1019
N1,4,836529,1632.262353998203,1328445,1193.571428571429, N1_1081
N1,4,836529,1632.262353998203,1328445,1193.571428571429, N1_460
N1,4,836529,1632.262353998203,1328445,1193.571428571429, N1_73
N1,4,836529,1632.262353998203,1328445,1193.571428571429, N1_776
N1,4,836529,1632.262353998203,1328445,1193.571428571429, N1_885
N1,4,836529,1632.262353998203,1328445,1193.571428571429, N1_89
N1,4,836529,1632.262353998203,1328445,1193.571428571429, N1_924
N1,4,836529,1632.262353998203,1328445,1193.571428571429, N1_930
N1,4,836529,1632.262353998203,1328445,1193.571428571429, N1_962
N1,4,836529,1632.262353998203,1328445,1193.571428571429,N1_870
N1,4,865745,1479.2045654082528,1132919,994.661106233538, N1_503
N1,4,865745,1479.2045654082528,1132919,994.661106233538, N1_788
N1,4,865745,1479.2045654082528,1132919,994.661106233538, N1_796
N1,4,865745,1479.2045654082528,1132919,994.661106233538, N1_833
N1,4,865745,1479.2045654082528,1132919,994.661106233538, N1_924
N1,4,865745,1479.2045654082528,1132919,994.661106233538, N1_999
N1,4,865745,1479.2045654082528,1132919,994.661106233538,N1_842
N1,5,224683,2372.766287487073,2142721,2215.843846949328, N1_104
N1,5,224683,2372.766287487073,2142721,2215.843846949328, N1_1049
N1,5,224683,2372.766287487073,2142721,2215.843846949328, N1_1078
N1,5,224683,2372.766287487073,2142721,2215.843846949328, N1_195
N1,5,224683,2372.766287487073,2142721,2215.843846949328, N1_35
N1,5,224683,2372.766287487073,2142721,2215.843846949328, N1_446
N1,5,224683,2372.766287487073,2142721,2215.843846949328, N1_498
