Unnamed: 0,length,condition,lat,lon,intersection,model_type,id,road,name,chainage,traffic,heavy_truck,heavy_truck_normalized,truck_generation_frequency,sink_selection_probability
0,4.0,,23.7060278,90.443333,,sourcesink,10000,N1,,0.004,21537.0,660.0,0.5423171733771569,3.0,0.1530714504012111
1,1800.0,,23.70238323,90.45109704,0,link,10001,N1,,1.804,19357.0,402.0,0.33032046014790467,,
2,11.3,A,23.69873866,90.45886108,,bridge,10002,N1,,1.8153,19357.0,402.0,0.33032046014790467,,
3,3125.0,,23.69670125,90.473318,0,link,10003,N1,,4.940300000000001,16657.0,85.0,0.06984387838948233,,
4,6.6,A,23.69466384,90.48777492,,bridge,10004,N1,,4.9469,16657.0,85.0,0.06984387838948233,,
5,3838.0,,23.70037357,90.50465101,0,link,10005,N1,,8.7849,24589.0,153.0,0.1257189811010682,,
6,4.0,,23.7060833,90.5215271,N2,intersection,10006,N1,,8.7889,24589.0,153.0,0.1257189811010682,,
7,213.0,,23.7055716,90.52237062,0,link,10007,N1,,9.0019,24589.0,153.0,0.1257189811010682,,
8,394.23,A,23.70505989,90.52321415,,bridge,10008,N1,,9.396130000000001,24589.0,153.0,0.1257189811010682,,
9,1567.0,,23.70072999,90.52915656,0,link,10009,N1,,10.963130000000001,24589.0,153.0,0.1257189811010682,,
10,8.0,B,23.69640009,90.53509898,,bridge,10010,N1,,10.97113,24589.0,153.0,0.1257189811010682,,
11,337.0,,23.69539535,90.53633653,0,link,10011,N1,,11.30813,24589.0,153.0,0.1257189811010682,,
12,6.3,A,23.69439061,90.53757408,,bridge,10012,N1,,11.31443,24589.0,153.0,0.1257189811010682,,
13,17.0,,23.6943465,90.53764072,0,link,10013,N1,,11.331430000000001,24589.0,153.0,0.1257189811010682,,
14,6.3,A,23.69430239,90.53770737,,bridge,10014,N1,,11.337729999999999,24589.0,153.0,0.1257189811010682,,
15,399.0,,23.69333127,90.53931288,0,link,10015,N1,,11.73673,24589.0,153.0,0.1257189811010682,,
16,8.3,A,23.69236015,90.54091839,,bridge,10016,N1,,11.74503,24589.0,153.0,0.1257189811010682,,
17,512.0,,23.69163604,90.54319044,0,link,10017,N1,,12.25703,23879.0,174.0,0.142974527526705,,
18,10.6,B,23.69091193,90.5454625,,bridge,10018,N1,,12.26763,23879.0,174.0,0.142974527526705,,
19,128.0,,23.69066412,90.54602275,0,link,10019,N1,,12.39563,23879.0,174.0,0.142974527526705,,
20,4.0,,23.6904163,90.546583,N105,intersection,10020,N1,,12.39963,23879.0,174.0,0.142974527526705,,
21,303.0,,23.68941431,90.54757076,0,link,10021,N1,,12.702630000000001,23879.0,174.0,0.142974527526705,,
22,9.3,A,23.68841233,90.54855853,,bridge,10022,N1,,12.71193,23879.0,174.0,0.142974527526705,,
23,14.0,,23.68836603,90.54860417,0,link,10023,N1,,12.72593,23879.0,174.0,0.142974527526705,,
24,6.1,A,23.68831973,90.54864981,,bridge,10024,N1,,12.73203,23879.0,174.0,0.142974527526705,,
25,407.0,,23.68695138,90.54992889,0,link,10025,N1,,13.13903,23879.0,174.0,0.142974527526705,,
26,27.5,A,23.68558303,90.55120798,,bridge,10026,N1,,13.16653,23879.0,174.0,0.142974527526705,,
27,28.0,,23.6854725,90.55128358,0,link,10027,N1,,13.19453,23879.0,174.0,0.142974527526705,,
28,27.5,A,23.68536198,90.55135918,,bridge,10028,N1,,13.22203,23879.0,174.0,0.142974527526705,,
29,886.0,,23.68158274,90.55358931,0,link,10029,N1,,14.108030000000001,23879.0,174.0,0.142974527526705,,
30,11.9,A,23.6778035,90.55581943,,bridge,10030,N1,,14.11993,23879.0,174.0,0.142974527526705,,
31,1891.0,,23.67055628,90.55983821,0,link,10031,N1,,16.010930000000002,23879.0,174.0,0.142974527526705,,
32,5.55,B,23.66330907,90.56385699,,bridge,10032,N1,,16.016479999999998,23879.0,174.0,0.142974527526705,,
33,1669.0,,23.65886739,90.57029361,0,link,10033,N1,,17.68548,23879.0,174.0,0.142974527526705,,
34,159.52,C,23.65442571,90.57673023,,bridge,10034,N1,,17.845,23879.0,174.0,0.142974527526705,,
35,88.0,,23.65419898,90.57707032,0,link,10035,N1,,17.933,23879.0,174.0,0.142974527526705,,
36,20.45,A,23.65397226,90.57741042,,bridge,10036,N1,,17.95345,23879.0,174.0,0.142974527526705,,
37,0.0,,23.65397226,90.57741042,0,link,10037,N1,,17.95345,23879.0,174.0,0.142974527526705,,
38,20.5,A,23.65397226,90.57741042,,bridge,10038,N1,,17.973950000000002,23879.0,174.0,0.142974527526705,,
39,500.0,,23.65277141,90.57945241,0,link,10039,N1,,18.473950000000002,23879.0,174.0,0.142974527526705,,
40,20.0,B,23.65157057,90.58149439,,bridge,10040,N1,,18.49395,23879.0,174.0,0.142974527526705,,
41,371.0,,23.65066248,90.5830217,0,link,10041,N1,,18.86495,23879.0,174.0,0.142974527526705,,
42,25.5,A,23.6497544,90.58454901,,bridge,10042,N1,,18.89045,23879.0,174.0,0.142974527526705,,
43,0.0,,23.6497544,90.58454901,0,link,10043,N1,,18.89045,23879.0,174.0,0.142974527526705,,
44,25.5,B,23.6497544,90.58454901,,bridge,10044,N1,,18.915950000000002,23879.0,174.0,0.142974527526705,,
45,649.0,,23.6478615,90.58688049,0,link,10045,N1,,19.56495,23879.0,174.0,0.142974527526705,,
46,40.5,C,23.64596859,90.58921198,,bridge,10046,N1,,19.60545,23879.0,174.0,0.142974527526705,,
47,0.0,,23.64596859,90.58921198,0,link,10047,N1,,19.60545,23879.0,174.0,0.142974527526705,,
48,40.33,B,23.64596859,90.58921198,,bridge,10048,N1,,19.64578,23879.0,174.0,0.142974527526705,,
49,1018.0,,23.64196148,90.59143969,0,link,10049,N1,,20.66378,14551.0,244.0,0.20049301561216104,,
50,6.0,A,23.63795437,90.5936674,,bridge,10050,N1,,20.66978,14551.0,244.0,0.20049301561216104,,
51,637.0,,23.6358798,90.59553074,0,link,10051,N1,,21.30678,14551.0,244.0,0.20049301561216104,,
52,10.4,B,23.63380522,90.59739409,,bridge,10052,N1,,21.31718,14551.0,244.0,0.20049301561216104,,
53,787.0,,23.63113604,90.59984783,0,link,10053,N1,,22.10418,14551.0,244.0,0.20049301561216104,,
54,89.75,A,23.62846685,90.60230157,,bridge,10054,N1,,22.19393,14551.0,244.0,0.20049301561216104,,
55,0.0,,23.62846685,90.60230157,0,link,10055,N1,,22.19393,14551.0,244.0,0.20049301561216104,,
56,86.92,A,23.62846685,90.60230157,,bridge,10056,N1,,22.280849999999997,14551.0,244.0,0.20049301561216104,,
57,1144.0,,23.62417504,90.60532723,0,link,10057,N1,,23.42485,14551.0,244.0,0.20049301561216104,,
58,5.5,B,23.61988322,90.60835289,,bridge,10058,N1,,23.430349999999997,14551.0,244.0,0.20049301561216104,,
59,268.0,,23.61876201,90.60895175,0,link,10059,N1,,23.698349999999998,14822.0,355.0,0.29170090386195563,,
60,224.82,B,23.6176408,90.60955061,,bridge,10060,N1,,23.923170000000002,14822.0,355.0,0.29170090386195563,,
61,0.0,,23.6176408,90.60955061,0,link,10061,N1,,23.923170000000002,14822.0,355.0,0.29170090386195563,,
62,224.8,A,23.6176408,90.60955061,,bridge,10062,N1,,24.14797,14822.0,355.0,0.29170090386195563,,
63,485.0,,23.61561409,90.61022678,0,link,10063,N1,,24.63297,14822.0,355.0,0.29170090386195563,,
64,119.32,A,23.61358738,90.61090296,,bridge,10064,N1,,24.752290000000002,14822.0,355.0,0.29170090386195563,,
65,0.0,,23.61358738,90.61090296,0,link,10065,N1,,24.752290000000002,14822.0,355.0,0.29170090386195563,,
66,119.48,A,23.61358738,90.61090296,,bridge,10066,N1,,24.87177,14822.0,355.0,0.29170090386195563,,
67,1312.0,,23.60817349,90.61321733,0,link,10067,N1,,26.18377,14822.0,355.0,0.29170090386195563,,
68,924.85,A,23.60275959,90.6155317,,bridge,10068,N1,,27.10862,14822.0,355.0,0.29170090386195563,,
69,1722.0,,23.59787074,90.62175082,0,link,10069,N1,,28.83062,14822.0,355.0,0.29170090386195563,,
70,5.6,A,23.59298188,90.62796994,,bridge,10070,N1,,28.83622,14822.0,355.0,0.29170090386195563,,
71,337.0,,23.59189537,90.6291034,0,link,10071,N1,,29.17322,14822.0,355.0,0.29170090386195563,,
72,5.5,A,23.59080885,90.63023686,,bridge,10072,N1,,29.178720000000002,14822.0,355.0,0.29170090386195563,,
73,668.0,,23.58856349,90.63237314,0,link,10073,N1,,29.84672,14822.0,355.0,0.29170090386195563,,
74,5.6,A,23.58631812,90.63450942,,bridge,10074,N1,,29.85232,14822.0,355.0,0.29170090386195563,,
75,1195.0,,23.58214907,90.63821436,0,link,10075,N1,,31.04732,14551.0,244.0,0.20049301561216104,,
76,172.1,A,23.57798002,90.64191931,,bridge,10076,N1,,31.219420000000003,14551.0,244.0,0.20049301561216104,,
77,0.0,,23.57798002,90.64191931,0,link,10077,N1,,31.219420000000003,14551.0,244.0,0.20049301561216104,,
78,173.25,A,23.57798002,90.64191931,,bridge,10078,N1,,31.392670000000003,14551.0,244.0,0.20049301561216104,,
79,823.0,,23.57480533,90.64366762,0,link,10079,N1,,32.21567,14551.0,244.0,0.20049301561216104,,
80,29.85,A,23.57163063,90.64541592,,bridge,10080,N1,,32.24552,14551.0,244.0,0.20049301561216104,,
81,0.0,,23.57163063,90.64541592,0,link,10081,N1,,32.24552,14551.0,244.0,0.20049301561216104,,
82,29.77,A,23.57163063,90.64541592,,bridge,10082,N1,,32.27529,14551.0,244.0,0.20049301561216104,,
