road,id,model_type,name,lat,lon,length,condition,road_lrp
N1,N1_0,sourcesink,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,0.0,,N1LRPS
N1,N1_1,link,Km post missing,23.7021389,90.4519722,1.0,,N1LRP001
N1,N1_2,bridge,.,23.69873866,90.4588610799999,0.8,A,N1LRP001a
N1,N1_3,link,Km post missing,23.6978886,90.4605833,0.19999999999999996,,N1LRP002
N1,N1_4,link,Km post missing,23.693833,90.4691382,1.0,,N1LRP003
N1,N1_5,link,Km post missing,23.6936108,90.4787771,1.0,,N1LRP004
N1,N1_6,bridge,.,23.6946638363636,90.4877749181818,0.9249999999999998,A,N1LRP004b
N1,N1_7,link,Km post missing,23.6947497,90.4884997,0.07500000000000018,,N1LRP005
N1,N1_8,link,Km post missing,23.6959163,90.4981941,1.0,,N1LRP006
N1,N1_9,link,Km post missing,23.697333,90.50775,1.0,,N1LRP007
N1,N1_10,link,Km post missing,23.7020556,90.5157222,1.0,,N1LRP008
N1,N2_1N1_11,intersection,"Chittagong 251 km,Comilla 84 km",23.7068889,90.5204716,0.5030000000000001,,N1LRP009
N1,N1_12,bridge,Kanch pur Bridge.,23.7050598925675,90.5232141463513,0.47300000000000075,A,N1LRP008b
N1,N1_13,link,Km post missing,23.7025278,90.5273882,0.5269999999999992,,N1LRP010
N1,N1_14,link,Km post missing,23.6966386,90.5348052,1.0,,N1LRP011
N1,N1_15,bridge,KATCHPUR BOX CULVERT,23.6964000869109,90.5350989801047,0.03999999999999915,B,N1LRP010a
N1,N1_16,bridge,NOYAPARA CULVERT,23.6943906141361,90.5375740774869,0.3370000000000015,A,N1LRP010b
N1,N1_17,bridge,ADUPUR CULVERT,23.6943023869158,90.5377073719626,0.01699999999999946,A,N1LRP010c
N1,N1_18,bridge,NAYABARI KASPUR BOX CULVERT,23.6923601518691,90.5409183897196,0.39899999999999913,A,N1LRP011a
N1,N1_19N105_2,intersection,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108,0.2010000000000005,,N1LRP012
N1,N1_20,bridge,NAYABARI BOX CULVERT,23.6909119315151,90.5454624957575,0.31099999999999994,B,N1LRP011c
N1,N1_21,bridge,KHAS PARA BOX CULVERT,23.6884123260204,90.5485585290816,0.43100000000000094,A,N1LRP012a
N1,N1_22,bridge,DAWAN BAG BOX CULVERT,23.6883197331632,90.548649807653,0.013999999999999346,A,N1LRP012b
N1,N1_23,link,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,0.270999999999999,,N1LRP013
